ddat-profession-capability-framework-role-level	name	start-date	end-date
1001.01	Principal business analyst - management		
1002.01	Principal business analyst - specialist		
1003.01	Senior business analyst		
1004.01	Business analyst		
1005.01	Junior business analyst		
1006.01	Programme delivery manager		
1007.01	Head of (agile) delivery management		
1008.01	Senior delivery manager		
1009.01	Delivery manager		
1010.01	Associate delivery manager		
1011.01	Service owner		
1012.01	Head of product		
1013.01	Lead product manager		
1014.01	Senior product manager		
1015.01	Product manager		
1016.01	Associate product manager		
1017.01	Principal technical architect		
1018.01	Lead technical architect		
1019.01	Senior technical architect		
1020.01	Technical architect		
1021.01	Associate technical architect		
1022.01	Technical architect - specialist		
1023.01	Lead network architect		
1024.01	Network architect		
1025.01	Associate network architect		
1026.01	Principal security architect		
1027.01	Lead security architect		
1028.01	Security architect		
1029.01	Chief data architect		
1030.01	Senior data architect		
1031.01	Data architect		
1032.01	Principal developer - management		
1033.01	Principal developer		
1034.01	Lead developer - management		
1035.01	Lead developer		
1036.01	Senior developer - management		
1037.01	Senior developer		
1038.01	Developer		
1039.01	Junior developer		
1040.01	Apprentice developer		
1041.01	Principal DevOps - management		
1042.01	Principal DevOps		
1043.01	Lead DevOps - management		
1044.01	Lead DevOps		
1045.01	Senior DevOps - management		
1046.01	Senior DevOps		
1047.01	DevOps		
1048.01	Junior DevOps		
1049.01	Apprentice DevOps		
1050.01	Principal infrastructure engineer		
1051.01	Lead infrastructure engineer		
1052.01	Senior infrastructure engineer		
1053.01	Infrastructure engineer		
1054.01	Associate infrastructure engineer		
1055.01	Infrastructure engineer - specialist		
1056.01	Principal engineer - application operations		
1057.01	Lead engineer - application operations		
1058.01	Senior engineer - application operations		
1059.01	Engineer - application operations		
1060.01	Associate engineer - application operations		
1061.01	Principal engineer - infrastructure operations		
1062.01	Lead engineer - infrastructure operations		
1063.01	Senior engineer - infrastructure operations		
1064.01	Engineer - infrastructure operations		
1065.01	Associate engineer - infrastructure operations		
1066.01	Principal engineer - end user computing		
1067.01	Lead engineer - end user computing		
1068.01	Senior engineer - end user computing		
1069.01	Engineer - end user computing		
1070.01	Associate engineer - end user computing		
1071.01	Head of service desk		
1072.01	Service desk manager		
1073.01	Senior service desk analyst		
1074.01	Service desk analyst		
1075.01	Head of IT service management		
1076.01	Senior IT service manager		
1077.01	IT service manager		
1078.01	IT service analyst		
1079.01	Lead business relationship manager		
1080.01	Senior business relationship manager		
1081.01	Business relationship manager		
1082.01	Major incident manager		
1083.01	Incident manager		
1084.01	Problem manager		
1085.01	Problem analyst		
1086.01	Change and release manager		
1087.01	Change and release analyst		
1088.01	Configuration analyst		
1089.01	Head of command and control		
1090.01	Operational control manager		
1091.01	Senior operations analyst		
1092.01	Operations analyst		
1093.01	Lead service transition manager		
1094.01	Service transition manager		
1095.01	Service readiness analyst		
1096.01	Service acceptance analyst		
1097.01	Head of test		
1098.01	Test manager		
1099.01	Lead QAT analyst		
1100.01	Senior QAT analyst		
1101.01	QAT analyst		
1102.01	Tester (QAT)		
1103.01	Lead test engineer		
1104.01	Senior test engineer		
1105.01	Test engineer		
1106.01	Tester (test engineer)		
1107.01	Head of data engineering		
1108.01	Lead data engineer		
1109.01	Data engineer		
1110.01	Head of data science		
1111.01	Senior data scientist		
1112.01	Data scientist		
1113.01	Junior data scientist		
1114.01	Trainee data scientist		
1115.01	Head of performance analysis		
1116.01	Lead performance analyst		
1117.01	Senior performance analyst		
1118.01	Performance analyst		
1119.01	Associate performance analyst		
1120.01	Head of content design		
1121.01	Lead content designer		
1122.01	Senior content designer		
1123.01	Content designer		
1124.01	Junior content designer		
1125.01	Associate content designer		
1126.01	Lead technical writer		
1127.01	Technical writer		
1128.01	Content strategist		
1129.01	Head of graphic design		
1130.01	Lead graphic designer		
1131.01	Senior graphic designer		
1132.01	Graphic designer		
1133.01	Junior graphic designer		
1134.01	Associate graphic designer		
1135.01	Head of interaction design		
1136.01	Lead interaction designer		
1137.01	Senior interaction designer		
1138.01	Interaction designer		
1139.01	Junior interaction designer		
1140.01	Associate interaction designer		
1141.01	Head of service design		
1142.01	Lead service design		
1143.01	Senior service designer		
1144.01	Service designer		
1145.01	Junior service designer		
1146.01	Associate service designer		
1147.01	Head of user research		
1148.01	Lead user researcher		
1149.01	Senior user researcher		
1150.01	User researcher		
1151.01	Junior user researcher		
1152.01	Associate user researcher		
1153.01	Senior data engineer		
