ddat-profession-capability-framework-skill-level	ddat-profession-capability-framework-skill	ddat-profession-capability-framework-level	description	start-date	end-date
	1002	101	Able to identify and compare the best processes or delivery methods to use, including measuring and evaluating outcomes. Helps the team to decide the best approach. Able to help teams to manage and visualise outcomes, prioritise work and work to agreed minimum viable product (MVP), print and scope.		
	1012	101	Responsible for investigative work into problems and opportunities in existing and new services. Drives the analysis and collection of information and creation of to create recommendations for service improvements. Analyses large amounts of complex information and uses it to produce solutions.		
	1015	101	Able to analyse current services and processes, and identify and implement opportunities to optimise these. Helps to evaluate and establish requirements using relevant techniques such as gap analysis.		
	1046	102	Has knowledge of the wider digital economy and advances in technology, understanding how these impact on a government context. Makes decisions that set the standards for others to follow. Understands working with agility at an organisational level and is able to create the environment for success.		
	1061	101	Leads others to innovate in their work as well as innovating in their own.		
	1090	101	Facilitates setting of business priorities for change initiatives of high complexity. Leads eliciting of requirements and takes responsibility for investigation and implementation of changes to programme scope.		
	1098	102	Directs the strategic approach for stakeholder relationships, establishing and promoting the meeting of stakeholder objectives. Positively influences key senior stakeholders and provides an arbitration function.		
	1136	101	Able to collaborate with user researchers and can sell or represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
	1016	102	Is an advisor on the most appropriate techniques to use and creates models that support a business strategy. Plans and co-ordinates the team’s modelling and supports them in this.		
	1017	102	Accountable for integrity of testing and acceptance activities, and co-ordinates the execution of these activities. Manages client relationships with respect to testing matters.		
	1049	101	Contributes to the creation and maintenance of the target operating model and identifies the impact on operational service.		
	1070	102	Provides the direction for teams in using the most appropriate tools and methodologies and introduces any new ones.		
	1119	101	Able to define test condition requirements. Works according to test plans to design, interpret and execute them. Highlights reports and risks and is able to analyse results based on tests and activities.		
	1002	102	Coaches and leads teams in agile and lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team.		
	1013	102	Directs business analysis including the elicitation of information and evidence, identification of problems and opportunities and ensures recommendations fit with strategic business objectives. Actively manages senior stakeholders and creates a compelling case for change. Owns the methods and can identify the most suitable approach out of a variety of approaches.		
	1015	102	Sets strategic direction. Liaises with business areas to establish business requirements and identifies, proposes, initiates and leads these programmes to increase efficiency.		
	1090	102	Sets the methods and standards for eliciting requirements, defining standards and quality targets. Sets priorities for strategic business change. Defines standards and targets and engages stakeholders, managing multiple stakeholder perspectives and expectations.		
	1136	102	Gives direction on which tools or methods to use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
	1046	101	Has the ability to apply a digital understanding to their work. Is able to identify and implement solutions for assisted digital.		
	1098	101	Is able to influence stakeholders and manage relationships effectively. Builds long-term strategic relationships and communicates clearly and regularly with stakeholders.		
	1016	101	Models more advanced and complex situations across more than one business function or programme. Gathers insight from senior stakeholders and communicates modelling results clearly to them.		
	1017	101	Takes responsibility for creation of test cases. Creates traceability records, from test cases back to requirements.		
	1070	101	Makes sure that teams are using the right tools and methodologies and promotes the use of these.		
	1012	103	Investigates problems and analyses options for new and existing services. Provides recommendations to solutions. Works with stakeholders to identify objectives, opportunities and potential benefits available.		
	1061	103	Has awareness of innovation and is able to apply this to own work.		
	1090	103	Responsible for elicitation of requirements. Facilitates setting of business priorities for change initiatives of medium complexity. Manages and implements requests for changes to baseline requirements.		
	1098	103	Identifies key stakeholders, tailoring communication to their needs, and works with teams to build relationships whilst also meeting user needs. Can take opposing views to reach consensus. Understands how to work with stakeholders and contributes to improving these relationships, using evidence to explain decisions made.		
	1136	103	Identifies and engages with users and stakeholders to collate user needs evidence. Understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
	1016	103	Can use a wide range of techniques to model situations confidently. Gains the necessary agreement needed from subject matter experts and stakeholders, ensuring they review the results to fix any issues.		
	1017	103	Reports on system quality and collects metrics on test cases.		
	1049	103	Understands and can apply the current target operating model to work.		
	1070	103	Can select and support the most appropriate tool or method.		
	1119	103	Able to review requirements, specifications and define test conditions. Able to identify issues and risks associated with work whilst being able to analyse and report test activities and results.		
	1002	103	Has had experience in working in agile, including an awareness of agile tools and how to use them. Can advise colleagues on how and why agile methods are used and is able to provide a clear, open and transparent framework in which teams can deliver. Can adapt and reflect, is resilient and has the ability to see outside of the process.		
	1012	104	Investigates operational needs or problems and assists in the recommendation of service improvement and business solutions. Contributes to the recommendation of improving services and understands the importance of evidence-based design or analysis.		
	1067	104	Able to recommend decisions and describe the reasoning behind these. Capable of identifying and articulating technical disputes between direct peers and local stakeholders.		
	1015	103	Able to identify service and process improvement opportunities with guidance. Contributes to the implementation of proposed solutions.		
	1046	103	Is responsive to changes in technology, adapting their approach accordingly. Makes decisions to meet user needs in the government context. Understands the importance of assisted digital and is able to design services and make decisions to meet users needs.		
	1061	104	Has awareness of innovation and what it involves.		
	1090	104	Demonstrates an awareness of tools and techniques for determining requirements. Recognises the objective of the business.		
	1098	104	Understands who the stakeholders are, what evidence is relevant to them, and the importance of managing relationships with them.		
	1136	104	Has an awareness or understanding of user experience analysis and its principles. Can see the purpose of user stories and focuses on user needs.		
