profession-capability-framework-capability-mastery-level	profession-capability-framework-capability	profession-capability-framework-mastery-level	description	start-date	end-date
10132	1001	15	(None specified)		
10056	1002	11	Able to identify and compare the best processes or delivery methods to use. Able to recognise when something does not work and encourages a mindset of experimentation. Can adapt and reflect, is resilient and has the ability to see outside of the process. Able to use a blended approach depending on the context. Able to measure and evaluate outcomes. Able to help teams to manage and visualise outcomes.		
10043	1002	12	Coaches and leads teams in Agile and Lean practices. Is a recognised expert that advocates these approaches, continuously reflecting and challenging the team. Creates or tailors new ways of working and is always innovating.		
10064	1002	13	Has had experience in applying Agile principles in practice. Able to provide a clear, open and transparent framework in which teams can deliver. Has an awareness of Agile tools and is starting to use them intelligently. Able to visualise and make visible the work of the team.		
10001	1003	11	Able to identify and compare the best processes or delivery methods to use, including measuring and evaluating outcomes. Helps the team to decide the best approach. Able to help teams to manage and visualise outcomes, prioritise work and work to agreed minimum viable product (MVP), print and scope.		
10074	1003	12	Coaches and leads teams in Agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team.		
10456	1003	12	Coaches and leads teams in Agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team		
10501	1003	12	Coaches and leads teams in agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team.		
10030	1003	13	Has had experience in working in agile, including an awareness of agile tools and how to use them. Can advise colleagues on how and why agile methods are used and is able to provide a clear, open and transparent framework in which teams can deliver. Can adapt and reflect, is resilient and has the ability to see outside of the process.		
10100	1003	14	Has an awareness of Agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach and understands why iteration is important and can do it quickly.		
10489	1003	14	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach and understands why iteration is important, and can do it quickly.		
10498	1003	14	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach and understands why iteration is important and can do it quickly.		
10507	1003	14	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach, understands why iteration is important and can do it quickly.		
10190	1004	11	Monitors the analysis of a technical solution and ensures analysis is re-used for similar problem sets. Reviews solutions and identifies areas for change. Drives the collection of information that is used and analysed. Feeds back on policy and requirements.		
10185	1004	12	Provides direction and leads on change with regards to factors that feed into analysis. Monitors changes in the technical environment and assesses whether risks are still at acceptable levels or whether previous decisions need to be revisited. Directs and influences others on best practice and policy.		
10196	1004	13	Able to apply the approach to real problems and consider all relevant information. Applies appropriate rigour to ensure a full solution is designed and achieves the business outcome.		
10519	1005	11	Understands and can help teams apply a range of methods to analyse research data and synthesise findings. Knows how to engage sceptical colleagues in analysis and synthesis. Can advise on choice and application of techniques, and can critique colleagues’ findings to assure best practice.		
10509	1005	12	Can help an organisation adopt a wide range of analysis and synthesis techniques. Can help an organisation to continually assure, improve and innovate their practices to generate clear and valuable findings.		
10524	1005	13	Understands how to apply basic techniques for analysis of research data and synthesis of findings. Knows how to involve their team in analysis and synthesis. Can present clear findings that colleagues can understand and use.		
10533	1005	14	Is aware of the need for careful analysis of research data to produce clear findings.		
10410	1006	11	Understands and can help teams apply a range of practices. Develops deeper expertise on a narrower range of specialisms. Starts to apply emerging theory to practical situations.		
10411	1006	13	Has broad knowledge of how and when to practically apply existing best practice solutions.		
10417	1006	14	Understands the theoretical basis for applied practices and is beginning to be able to apply the theory to practical examples.		
10294	1007	11	Manages configuration items, related information, service compliance and risks.		
10334	1007	12	Manages configuration management for the organisation, ensuring value for the business and adherence to company policies. Ensures changes to assets are recorded and controlled appropriately. Promotes organisational commitment to asset control.		
10302	1007	13	Maintains secure configuration and accurate information, controlling IT assets in one or more significant areas and verifying location and state of assets.		
10314	1007	13	Maintains secure configuration and accurate information, controlling IT assets in one or more significant areas, and verifying location and state of assets.		
10275	1007	14	Tracks, logs and corrects information to protect assets and components.		
10211	1008	11	Ensures the correct implementation of standards and procedures, identifying capacity issues, stipulating the required changes and instigating these. Instigates remedial action.		
10295	1008	11	Ensures the correct implementation of standards and procedures. Proactively reviews information in conjunction with service level agreements to identify any availability and capacity issues and specifies any required changes (SFIA 6, Level 5, CPMG). Instigates remedial activities.		
10239	1008	12	Drives policy and strategy for service and capacity management, and the implementation of required changes.		
10203	1008	13	Manages the service components to ensure they meet business needs and performance targets.		
10227	1008	14	Aware of availability and capacity management processes.		
10120	1009	11	Able to listen to the needs of the technical and business stakeholders and interpret between them. Capable of proactive and reactive communication.		
10110	1009	12	Able to mediate and mend relationships, communicating with stakeholders at all levels.		
10125	1009	13	Able to speak on behalf of technical teams and facilitate the relationships with indirect stakeholders.		
10276	1010	11	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10348	1010	12	Not Applicable		
10287	1010	13	Understands core technical concepts related to their role and is able to apply them with guidance.		
10303	1010	14	Aware of the subject matter and has an understanding of what it involves.		
10352	1010	14	Aware of availability and capacity management processes.		
10139	1011	11	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10133	1011	12	Able to predict and advise on future technology changes that present opportunities for a product or programme.		
10143	1011	14	Aware of the subject matter and has an understanding of what it involves.		
10434	1012	11	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape. Understands the limitations of digital technology.		
