profession-capability-framework	profession-capability-framework-cluster	profession-capability-framework-job-family	profession-capability-framework-job-title	profession-capability-framework-capability-type	profession-capability-framework-capability	profession-capability-framework-mastery-level	start-date	end-date
10001	12	114	1002	3	1001	15		
10002	12	107	1001	3	1001	15		
10003	11	102	1006	1	1002	12		
10004	11	102	1005	1	1002	13		
10005	11	102	1003	1	1002	14		
10006	11	103	1007	2	1002	14		
10007	11	102	1004	1	1002	14		
10008	16	132	1024	2	1003	12		
10009	16	135	1033	2	1003	11		
10010	16	136	1039	2	1003	11		
10011	11	105	1018	1	1003	11		
10012	16	137	1045	2	1003	11		
\	11	101	1011	1	1003	13		
10014	16	132	1022	2	1003	13		
10015	16	133	1025	2	1003	13		
10016	16	135	1031	2	1003	12		
10017	16	132	1019	2	1003	14		
10018	16	135	1028	2	1003	14		
10019	16	136	1034	2	1003	14		
10020	11	105	1014	1	1003	14		
10021	16	137	1040	2	1003	14		
10022	16	136	1037	2	1003	12		
10023	11	101	1012	1	1003	12		
10024	16	132	1023	2	1003	12		
10025	16	135	1032	2	1003	11		
10026	16	136	1038	2	1003	11		
10027	16	137	1044	2	1003	11		
10028	16	132	1020	2	1003	14		
10029	16	135	1029	2	1003	14		
10030	16	136	1035	2	1003	14		
10031	11	105	1015	1	1003	14		
10032	16	137	1041	2	1003	14		
10033	16	134	1026	2	1003	13		
10034	11	101	1009	1	1003	13		
10035	11	101	1008	1	1003	13		
10036	11	105	1017	1	1003	13		
10037	11	101	1010	1	1003	13		
10038	16	132	1021	2	1003	13		
10039	16	135	1030	2	1003	13		
10040	16	136	1036	2	1003	13		
10041	11	105	1016	1	1003	14		
10042	16	137	1042	2	1003	13		
10043	16	137	1043	2	1003	12		
10044	11	104	1013	1	1003	14		
10045	16	134	1027	2	1003	13		
10046	12	110	1047	2	1004	13		
10047	12	110	1046	2	1004	14		
10048	12	110	1048	2	1004	12		
10049	16	138	1054	1	1005	11		
10050	16	138	1049	1	1005	14		
10051	16	138	1053	1	1005	12		
10052	16	138	1050	1	1005	14		
10053	16	138	1051	1	1005	13		
10054	16	138	1052	1	1005	12		
10055	15	130	1055	1	1006	13		
10056	15	130	1056	1	1006	12		
10057	15	130	1057	1	1006	11		
10058	13	115	1060	2	1007	11		
10059	13	124	1090	2	1007	12		
10060	13	124	1089	2	1007	14		
10061	13	124	1091	2	1007	12		
10062	13	116	1062	2	1007	12		
10063	13	117	1068	2	1007	12		
10064	13	118	1072	2	1007	12		
10065	13	122	1081	2	1007	13		
10066	13	119	1073	2	1007	14		
10067	13	123	1085	2	1007	11		
10068	13	120	1077	2	1007	11		
10069	13	119	1076	2	1007	11		
10070	13	119	1075	2	1007	12		
10071	13	115	1058	2	1007	11		
10072	13	116	1063	2	1007	12		
10073	13	117	1066	2	1007	12		
10074	13	118	1070	2	1007	12		
